failures,lint_warnings,changed_files,apk_size_mb,apk_size_delta_ratio,coverage_pct,build_duration_s,secrets_found,sensitive_permissions,proceed
0,1,3,24.5,0.02,85.5,90,0,0,1
2,5,8,26.1,0.15,75.2,150,0,1,0
0,0,2,24.8,0.01,92.1,85,0,0,1
1,3,5,25.2,0.08,82.3,120,0,0,0
0,2,4,24.9,0.03,88.7,95,0,0,1
3,8,12,27.3,0.25,65.4,180,0,2,0
0,1,1,24.6,0.01,94.2,80,0,0,1
0,4,6,25.8,0.12,79.8,110,0,1,0
0,0,3,24.7,0.02,91.5,88,0,0,1
1,6,9,26.5,0.18,73.1,160,0,1,0
0,2,5,25.1,0.05,86.9,100,0,0,1
0,3,7,25.9,0.14,81.2,125,0,0,1
2,9,15,28.1,0.35,62.8,200,1,3,0
0,1,2,24.8,0.01,93.6,82,0,0,1
0,5,8,26.2,0.16,77.9,135,0,1,0
0,2,4,25.0,0.04,89.3,92,0,0,1
1,4,6,25.7,0.13,80.5,115,0,0,0
0,0,1,24.5,0.00,95.1,75,0,0,1
0,6,10,26.8,0.22,74.6,145,0,2,0
0,3,5,25.3,0.07,87.4,105,0,0,1
